iter	Passed	Remaining
414	4313	6079
415	4329	6078
416	4333	6059
417	4339	6041
418	4354	6038
419	4367	6030
420	4380	6025
421	4388	6010
422	4406	6010
423	4415	5998
424	4420	5980
425	4424	5961
426	4457	5982
427	4463	5964
428	4467	5946
429	4483	5943
430	4504	5946
431	4517	5940
432	4532	5935
433	4538	5918
434	4552	5913
435	4562	5902
436	4567	5884
437	4579	5876
438	4590	5866
439	4597	5851
440	4610	5844
441	4613	5823
442	4617	5805
443	4630	5798
444	4640	5787
445	4648	5774
446	4659	5764
447	4665	5748
448	4677	5739
449	4689	5732
450	4697	5718
451	4729	5733
452	4742	5726
453	4754	5717
454	4793	5741
455	4807	5735
456	4812	5718
457	4818	5702
458	4820	5681
459	4825	5664
460	4827	5644
461	4830	5625
462	4832	5605
463	4836	5586
464	4840	5569
465	4842	5549
466	4844	5529
467	4846	5509
468	4850	5491
469	4854	5473
470	4857	5455
471	4859	5436
472	4862	5417
473	4865	5399
474	4870	5383
475	4872	5364
476	4874	5344
477	4876	5325
478	4881	5309
479	4884	5291
480	4888	5274
481	4889	5255
482	4894	5238
483	4896	5219
484	4898	5201
485	4901	5184
486	4905	5166
487	4910	5151
488	4913	5134
489	4919	5120
490	4924	5104
491	4926	5086
492	4931	5071
493	4932	5052
494	4937	5037
495	4939	5018
496	4940	5000
497	4942	4982
498	4944	4964
499	4948	4948
500	4953	4933
501	4956	4916
502	4958	4899
503	4963	4884
504	4965	4867
505	4967	4849
506	4969	4832
507	4972	4816
508	4978	4802
509	4980	4785
510	4982	4767
511	4984	4750
512	4985	4732
513	4987	4715
514	4994	4703
515	4996	4686
516	4998	4669
517	5000	4652
518	5002	4636
519	5011	4626
520	5014	4610
521	5016	4593
522	5018	4577
523	5025	4565
524	5029	4550
525	5031	4534
526	5033	4517
527	5040	4505
528	5043	4490
529	5045	4473
530	5047	4457
531	5051	4443
532	5057	4430
533	5058	4414
534	5060	4398
535	5061	4382
536	5065	4367
537	5067	4351
538	5071	4337
539	5073	4321
540	5075	4306
541	5077	4290
542	5081	4277
543	5087	4264
544	5089	4249
545	5093	4235
546	5096	4220
547	5099	4206
548	5102	4191
549	5106	4177
550	5108	4162
551	5110	4147
552	5122	4140
553	5126	4127
554	5136	4118
555	5141	4105
556	5149	4095
557	5151	4080
558	5153	4065
559	5154	4050
560	5155	4034
561	5157	4019
562	5166	4010
563	5169	3996
564	5172	3981
565	5176	3968
566	5184	3959
567	5187	3945
568	5197	3936
569	5200	3923
570	5207	3912
571	5209	3898
572	5213	3884
573	5215	3870
574	5219	3857
575	5223	3845
576	5227	3832
577	5229	3817
578	5233	3805
579	5239	3794
580	5242	3780
581	5244	3766
582	5248	3754
583	5253	3742
584	5257	3729
585	5264	3719
586	5270	3707
587	5273	3695
588	5279	3683
589	5283	3671
590	5286	3658
591	5291	3647
592	5297	3635
593	5300	3622
594	5305	3611
595	5309	3599
596	5320	3591
597	5324	3579
598	5328	3567
599	5330	3553
600	5332	3539
601	5333	3526
602	5341	3516
603	5345	3504
604	5346	3490
605	5348	3477
606	5356	3467
607	5360	3455
608	5383	3456
609	5387	3444
610	5392	3432
611	5396	3421
612	5398	3408
613	5399	3394
614	5401	3381
615	5404	3369
616	5406	3356
617	5408	3343
618	5410	3329
619	5411	3316
620	5413	3303
621	5416	3291
622	5418	3278
623	5422	3267
624	5430	3258
625	5436	3247
626	5438	3235
627	5444	3225
628	5450	3214
629	5452	3202
630	5454	3189
631	5461	3180
632	5465	3168
633	5468	3156
634	5472	3145
635	5477	3134
636	5479	3122
637	5480	3109
638	5488	3100
639	5490	3088
640	5492	3076
641	5494	3063
642	5502	3055
643	5506	3044
644	5515	3035
645	5520	3025
646	5538	3021
647	5554	3017
648	5563	3008
649	5578	3003
650	5589	2996
651	5596	2987
652	5615	2983
653	5624	2975
654	5637	2969
655	5645	2960
656	5651	2950
657	5673	2948
658	5683	2940
659	5697	2934
660	5705	2926
661	5719	2920
662	5725	2910
663	5747	2908
664	5753	2898
665	5762	2890
666	5797	2894
667	5804	2885
668	5807	2873
669	5823	2868
670	5833	2860
671	5842	2851
672	5848	2841
673	5857	2833
674	5863	2823
675	5865	2811
676	5875	2803
677	5886	2795
678	5900	2789
679	5904	2778
680	5908	2767
681	5920	2760
682	5927	2751
683	5937	2743
684	5946	2734
685	5959	2727
686	5976	2722
687	5985	2714
688	6002	2709
689	6024	2706
690	6048	2704
691	6054	2694
692	6078	2692
693	6091	2686
694	6102	2677
695	6114	2670
696	6127	2663
697	6130	2652
698	6135	2641
699	6145	2633
700	6175	2634
701	6190	2627
702	6220	2627
703	6240	2623
704	6244	2613
705	6262	2607
706	6269	2598
707	6274	2587
708	6279	2577
709	6282	2566
710	6289	2556
711	6300	2548
712	6308	2539
713	6323	2533
714	6337	2526
715	6339	2514
716	6344	2504
717	6355	2496
718	6363	2486
719	6365	2475
720	6372	2465
721	6386	2459
722	6407	2454
723	6408	2443
724	6411	2431
725	6413	2420
726	6418	2410
727	6420	2398
728	6423	2387
729	6462	2390
730	6484	2386
731	6490	2376
732	6504	2369
733	6517	2362
734	6532	2355
735	6546	2348
736	6548	2336
737	6570	2332
738	6600	2331
739	6607	2321
740	6635	2319
741	6650	2312
742	6670	2307
743	6698	2305
744	6707	2295
745	6711	2285
746	6726	2278
747	6730	2267
748	6757	2264
749	6774	2258
750	6782	2248
751	6804	2243
752	6806	2232
753	6812	2222
754	6815	2211
755	6824	2202
756	6829	2192
757	6832	2181
758	6836	2170
759	6838	2159
760	6841	2148
761	6848	2139
762	6850	2127
763	6853	2117
764	6856	2106
765	6863	2096
766	6865	2085
767	6866	2074
768	6868	2063
769	6869	2052
770	6871	2040
771	6873	2029
772	6874	2018
773	6876	2007
774	6879	1997
775	6881	1986
776	6882	1975
777	6883	1964
778	6885	1953
779	6886	1942
780	6890	1932
781	6907	1925
782	6916	1916
783	6919	1906
784	6922	1895
785	6925	1885
786	6927	1874
787	6940	1867
788	6942	1856
789	6944	1846
790	6954	1837
791	6956	1826
792	6957	1816
793	6958	1805
794	6963	1795
795	6967	1785
796	6970	1775
797	6985	1768
798	6989	1758
799	6998	1749
800	7003	1739
801	7005	1729
802	7015	1721
803	7019	1711
804	7023	1701
805	7028	1691
806	7031	1681
807	7037	1672
808	7059	1666
809	7061	1656
810	7066	1646
811	7069	1636
812	7073	1627
813	7075	1616
814	7077	1606
815	7081	1596
816	7086	1587
817	7089	1577
818	7094	1567
819	7107	1560
820	7109	1549
821	7110	1539
822	7112	1529
823	7125	1521
824	7130	1512
825	7143	1504
826	7145	1494
827	7148	1484
828	7178	1480
829	7201	1475
830	7218	1468
831	7229	1459
832	7239	1451
833	7268	1446
834	7307	1443
835	7311	1434
836	7340	1429
837	7363	1423
838	7365	1413
839	7385	1406
840	7394	1397
841	7410	1390
842	7413	1380
843	7416	1370
844	7423	1361
845	7429	1352
846	7431	1342
847	7441	1333
848	7443	1323
849	7449	1314
850	7482	1310
851	7501	1303
852	7503	1293
853	7515	1284
854	7531	1277
855	7535	1267
856	7538	1257
857	7543	1248
858	7546	1238
859	7548	1228
860	7550	1218
861	7555	1209
862	7561	1200
