iter	RMSE
0	0.4342772009
1	0.4293447329
2	0.4221079808
3	0.4157854537
4	0.4106557543
5	0.4050198382
6	0.4002496287
7	0.3952325249
8	0.391045415
9	0.3861506007
10	0.3813096712
11	0.37671864
12	0.3731235728
13	0.3685801917
14	0.3643182626
15	0.3605993973
16	0.3572746841
17	0.3522433228
18	0.3485856053
19	0.3448651169
20	0.3393472299
21	0.3365053047
22	0.3316942905
23	0.3264444363
24	0.3227883465
25	0.3202964009
26	0.3173311717
27	0.3141450667
28	0.3091959274
29	0.3062174843
30	0.3041096916
31	0.3002776094
32	0.2962347745
33	0.2932695805
34	0.2902583857
35	0.2866804481
36	0.282667501
37	0.2794253716
38	0.2758727088
39	0.2727517534
40	0.2695814933
41	0.2656744771
42	0.2621742047
43	0.2595510768
44	0.2574434625
45	0.2544257658
46	0.2527352286
47	0.2503082775
48	0.2479263578
49	0.244992207
50	0.2431614343
51	0.2403100411
52	0.2377540337
53	0.2359563436
54	0.2332837184
55	0.2303635573
56	0.2277237208
57	0.2255091426
58	0.2237462374
59	0.2211554182
60	0.2187529162
61	0.2162475932
62	0.2143758602
63	0.21197106
64	0.209984287
65	0.2078117638
66	0.2050469366
67	0.2030334986
68	0.2015527041
69	0.2002574302
70	0.199220821
71	0.197031103
72	0.1951772788
73	0.1932418688
74	0.1912748013
75	0.1890365231
76	0.1872528536
77	0.1852184772
78	0.1836226796
79	0.1818437076
80	0.1799443787
81	0.1787656166
82	0.1769931914
83	0.1752312379
84	0.1730701855
85	0.1715560058
86	0.1697008355
87	0.1681944525
88	0.1667167616
89	0.1658938772
90	0.1644353684
91	0.1630704912
92	0.161590565
93	0.1608783503
94	0.1599019106
95	0.1587260604
96	0.1572029817
97	0.1558573418
98	0.1546217649
99	0.1534270666
100	0.1519734767
101	0.1509837535
102	0.1496050115
103	0.1485125185
104	0.1471920085
105	0.1456843359
106	0.1445050057
107	0.1433501373
108	0.1416963774
109	0.1409705612
110	0.1395793901
111	0.139074084
112	0.138008289
113	0.1370425679
114	0.1359073255
115	0.1346141621
116	0.1334779755
117	0.1321845597
118	0.1308064542
119	0.1297857566
120	0.1283708448
121	0.1281653316
122	0.1266789815
123	0.1259711266
124	0.1251849852
125	0.1243925453
126	0.123209844
127	0.1217037612
128	0.1213072852
129	0.120201648
130	0.1188255457
131	0.1182044152
132	0.1172291914
133	0.1161206143
134	0.1151605975
135	0.1144893711
136	0.1139276217
137	0.1128392085
138	0.111442495
139	0.1107055162
140	0.1101253363
141	0.1091905977
142	0.1080806086
143	0.1067017595
144	0.1060305978
145	0.1058218982
146	0.1051255722
147	0.1042656286
148	0.1036781379
149	0.1027717131
150	0.1019449561
151	0.1013921727
152	0.1006960779
153	0.1001336246
154	0.09942669318
155	0.09872456377
156	0.09775893432
157	0.09694112132
158	0.09636210093
159	0.0954827478
160	0.09508157092
161	0.09462302674
162	0.0943429531
163	0.09348017352
164	0.09334463061
165	0.09290831902
166	0.09279805205
167	0.09244423568
168	0.09226034541
169	0.0917448337
170	0.09095298605
171	0.09085235285
172	0.090740801
173	0.09063819375
174	0.09008472632
175	0.08979465371
176	0.08902727259
177	0.08842040762
178	0.08826498347
179	0.08802409996
180	0.08731261287
181	0.08675767402
182	0.08625148067
183	0.08611706168
184	0.08596123245
185	0.08583851729
186	0.08516203293
187	0.0850025876
188	0.08411780958
189	0.0839650403
190	0.08364717727
191	0.08347847719
192	0.08259706944
193	0.08250681605
194	0.08233141871
195	0.08216625348
196	0.08202622679
197	0.08185353096
198	0.08171465891
199	0.08139533765
200	0.08121275074
201	0.08105270623
202	0.08091902614
203	0.08081110346
204	0.08068926703
205	0.08052266897
206	0.08033573475
207	0.08018530308
208	0.08003869604
209	0.07990069866
210	0.0797435786
211	0.0795677042
212	0.07944430356
213	0.07930175997
214	0.07915611869
215	0.07898511348
216	0.07886185041
217	0.0787124145
218	0.07854636398
219	0.07837893012
220	0.07821888871
221	0.07807819914
222	0.07791955702
